"","date","air_temp_min","pressure_min","solar_min","dewpoint_min","humidity_min","wind_10m_min","wind_2m_min","wbgt_min","hi_min","air_temp_max","pressure_max","solar_max","dewpoint_max","humidity_max","wind_10m_max","wind_2m_max","wbgt_max","hi_max","air_temp_mean","pressure_mean","solar_mean","dewpoint_mean","humidity_mean","wind_10m_mean","wind_2m_mean","wbgt_mean","hi_mean","air_temp_var","pressure_var","solar_var","dewpoint_var","humidity_var","wind_10m_var","wind_2m_var","wbgt_var","hi_var"
"17",2005-05-22,51.9,1005.5,0,42.4,27.9,0.45,0.307435672489583,49.04,50.6,78.5,1015.5,958,59,86.3,3.43,3.06454652977164,74.05,77.4,64.6546296296296,1011.57175925926,320.12962962963,49.5541666666667,61.2976851851852,1.9712962962963,1.59097484344973,61.645787037037,63.7023148148148,82.5555133505599,6.44761735572782,125787.490094746,9.41514534883721,312.369715546942,0.412603893195521,0.445073827849927,81.0822477497847,84.5421806632214
"18",2005-05-23,58.8,998.2,0,50.8,34.6,0.12,0.284662659712577,56.56,58.8,82.5,1009.7,766,60.7,93.7,4.18,3.73463687884707,76.47,81.6,69.7412037037037,1003.89166666667,259.981481481481,56.4361111111111,65.5921296296296,2.17060185185185,1.70351438766444,66.1614351851852,69.4888888888889,63.350712962963,8.82188372093025,86987.785701981,5.21785271317829,327.786681955211,0.848961961670973,0.900453831788473,54.1765379306632,62.7468527131783
"19",2005-05-24,58.5,1000.2,0,49,44.8,1.7,0.96785304302276,55.48,57.9,73.6,1007,812,55.6,88.5,4.93,4.19710581802747,70.64,73.1,65.6893518518519,1002.74351851852,251.916666666667,52.3986111111111,63.3814814814815,2.8512037037037,2.33511667607173,62.4639351851852,64.9398148148148,18.6107232988803,1.64209732988803,80354.3093023256,3.08357945736434,147.256306632214,0.540653428079242,0.498312855809534,20.6354574655469,17.6721748492679
"20",2005-05-25,52.6,1004.8,0,46.2,49.4,1.61,0.916613764274496,50.22,51.7,66.2,1012,661,53.8,90.9,3.95,3.3627926939571,64.49,64.8,58.3180555555556,1009.1087962963,196.634259259259,49.3009259259259,73.4833333333333,2.9374537037037,2.34235219600867,56.61375,57.3074074074074,20.5983236434109,2.31168970714902,48886.5865417743,3.00958053402239,202.548558139535,0.486822788544358,0.535556859252908,23.1165137790698,18.9229216192937
"21",2005-05-26,53.9,1007.9,0,45.5,32.5,1.3,0.740122915252699,50.85,52.8,80.2,1013.4,939,57.6,80.1,4.01,3.58274973305664,74.25,79.5,65.35,1010.78842592593,321.564814814815,49.4069444444444,59.2550925925926,2.45805555555556,2.01553971733578,61.5114814814815,64.3712962962963,83.4072558139535,1.60335378983635,131447.642291128,3.61906782945736,274.872253014643,0.47275992248062,0.562968595303392,74.9235336089578,86.2381490094746
"22",2005-05-27,56.3,1008.9,0,48,29.4,0.37,0.446726899383621,53.47,55.6,83.4,1015.1,970,66.2,84.9,2.62,2.23051059700446,80.05,81.6,70.074537037037,1012.35972222222,274.046296296296,53.449537037037,58.1990740740741,1.6825,1.31630523040629,66.520462962963,69.4138888888889,80.2416276916451,1.68037015503875,113702.751335056,13.11218583118,245.865580534022,0.34805976744186,0.211043997343542,88.557657459087,81.565480620155
"23",2005-05-28,62.3,1010.3,0,49.3,33.7,0.12,0.284662659712577,59.43,62.4,81.2,1015.4,820,63,94.2,2.89,2.46037237608507,83.8,80.6,70.3078703703704,1012.54722222222,177.324074074074,57.6611111111111,66.350462962963,1.41666666666667,1.0694523325517,67.2044907407407,70.1569444444444,30.3889145133506,1.23357364341085,59317.1223944875,7.04052713178294,244.031999784668,0.543575813953488,0.357250923776453,41.0694462510767,28.8419050387597
"24",2005-05-29,53.4,1011.1,0,41,25.1,0.55,0.43203326662747,50.79,52.4,82.5,1017.9,865,61.3,87.6,3.18,2.84118308007983,76.39,80.5,68.5078703703704,1014.41851851852,273.712962962963,50.6703703703704,57.4555555555556,1.75481481481481,1.33086039125209,64.2643055555556,67.6648148148148,84.2308680017227,2.41519035314384,106332.289319552,20.0939086993971,420.230201550388,0.226882756244617,0.22233869641224,65.1812302131783,81.8187562446167
"25",2005-05-30,61,1012,0,47.3,49.4,0.38,0.392757515115882,55.82,60.3,73.9,1017.6,639,61.1,80.8,2.54,2.16240340320279,73.24,73.6,67.0763888888889,1014.82407407407,166.481481481481,54.4671296296296,64.324537037037,1.80439814814815,1.37650363757324,63.6756481481481,66.5055555555556,12.6988352713178,1.55272006890611,38258.0833763997,10.8085424203273,51.3193486218777,0.235520566322136,0.258128938940597,26.5561242291128,14.2363410852713
"26",2005-05-31,56.3,1012.5,0,55.6,49.4,1.28,0.762895928029705,55.12,56.2,77.2,1018.8,867,60.8,97.9,2.61,2.22199719777925,77.99,76.9,66.2546296296296,1015.65972222222,249.162037037037,58.1462962962963,77.3134259259259,1.79064814814815,1.35838495465608,65.4241666666667,66.212037037037,46.7161645133506,1.9726492248062,82883.81083118,0.757381567614126,284.459679371232,0.10162097329888,0.196682912048133,54.276758372093,45.2579939707149
"27",2005-06-01,57.9,1016.3,0,51.1,61.4,1.42,0.81982845997222,57.54,58,70.1,1022.6,197,60.4,99.3,3.35,2.63147535127641,65.82,70.1,64.112962962963,1019.26944444444,60.4166666666667,55.7365740740741,74.6601851851852,2.12175925925926,1.55402696511197,60.9664351851852,63.7342592592593,6.54680792420327,1.65338759689924,4337.15581395349,7.08112123169681,73.6247329888028,0.265355960378984,0.261340613455397,3.6677207213609,6.8140766580534
"28",2005-06-02,56.9,1014.4,0,55.9,91.7,2.71,2.12874573192808,56.27,57,63.2,1020.8,168,62.9,100,4.24,3.33058372818268,64.71,63.8,60.2365740740741,1016.73842592593,39.9490740740741,59.7717592592593,98.3675925925926,3.4237037037037,2.68937071831942,60.0950925925926,60.5837962962963,3.49758634797588,2.27484216192938,2321.78809216193,3.17236154177433,3.00164254952626,0.159256916451335,0.0982669103228453,5.88237952627046,4.13085249784668
"29",2005-06-03,60,1012.6,0,59.5,76.3,0.07,0.392757515115882,59.11,60.4,72.8,1018.7,433,68.6,100,2.86,2.24657298646285,78.61,73.5,63.987962962963,1015.38842592593,103.865740740741,61.9226851851852,93.3458333333333,1.54023148148148,1.18850120477185,64.7393055555556,64.4782407407407,18.315947459087,1.73916774332473,19754.9353789836,5.96287833763997,47.0734709302326,0.544857155469423,0.314716701900331,40.0552185852713,19.4929661929371
"30",2005-06-04,64,1012.5,0,63.9,59.6,0.1,0.284662659712577,63.15,64.8,80.5,1016.7,682,71.9,100,1.69,1.50993691991664,86.03,82.4,70.9087962962963,1014.42083333333,217.222222222222,66.1268518518519,86.5189814814815,0.672962962962963,0.54904253464642,72.5428703703704,72.0032407407407,33.1715036606374,1.02388953488372,64362.6015503876,2.03397329888028,231.450475236865,0.126603273040482,0.0694559406330878,67.4389684668389,36.188501076658
